iter	Passed	Remaining
0	2	248
1	3	175
2	5	177
3	7	179
4	9	178
5	11	177
6	13	175
7	15	173
8	17	172
9	17	161
10	20	166
11	22	165
12	24	163
13	26	162
14	27	158
15	29	157
16	31	155
17	33	153
18	35	151
19	36	145
20	38	143
21	38	137
22	40	135
23	42	134
24	44	133
25	46	131
26	48	130
27	50	128
28	52	127
29	53	125
30	54	121
31	56	119
32	57	117
33	59	116
34	61	114
35	63	113
36	65	110
37	66	109
38	68	106
39	70	105
40	72	103
41	74	102
42	75	100
43	77	99
44	79	97
45	80	94
46	82	93
47	84	91
48	86	90
49	88	88
50	90	87
51	92	85
52	94	83
53	96	82
54	98	80
55	100	78
56	102	77
57	104	75
58	106	73
59	108	72
60	110	70
61	111	68
62	113	66
63	115	65
64	117	63
65	119	61
66	121	59
67	121	57
68	123	55
69	125	53
70	127	52
71	129	50
72	132	48
73	134	47
74	136	45
75	137	43
76	139	41
77	141	39
78	143	38
79	145	36
80	147	34
81	149	32
82	150	30
83	153	29
84	155	27
85	157	25
86	159	23
87	161	21
88	163	20
89	165	18
90	167	16
91	168	14
92	170	12
93	172	11
94	175	9
95	177	7
96	179	5
97	180	3
98	182	1
99	184	0
